jid,formula,spg,dim,norb,nk,group,band,rank,W_band,W_group_max,W_span,d_iso,M_trg,lam,nphi,unif,Emid,M_manifold_diag,lam_manifold_diag,Tc_R1.00,binds_R1.00,cap_R1.00,U_R1.00,Tc_R0.85,binds_R0.85,cap_R0.85,U_R0.85,Tc_R0.55,binds_R0.55,cap_R0.55,U_R0.55,efermi,group_Emin,group_Emax,ef_inside,filling,band_Emin,band_Emax,ef_status,lamM
JVASP-6394,TaI2Cl2,47,2,80,40,2-3,3,2,0.01066496752996926,0.010664967529979918,0.011588994067274427,0.10502919219489115,0.088371399384617,0.2168153329055964,4.6556968302293615,0.26523557982988,-16.735295489921285,0.030060009459255955,0.20400189747130543,8.028332802246947,stiff,iso,0.052514596097445576,6.824082881909906,stiff,iso,0.052514596097445576,4.415583041235823,stiff,iso,0.052514596097445576,-4.1948,-16.74109288487751,-16.729503890810236,False,1.0,-16.740168858340216,-16.729503890810236,fail_ef_outside,0.01916027437690915
JVASP-6394,TaI2Cl2,47,2,80,40,4-5,4,2,0.15624195121737472,0.15624195121739248,0.15627488529425548,0.09382194978191905,1.1270130207867173,0.3013052843009595,3.456372301171809,0.35996225850979746,-16.212554301972286,0.09804293625825676,0.19753510731002263,41.00624507199392,amp,iso,0.04691097489095952,41.00624507199392,amp,iso,0.04691097489095952,41.00624507199392,amp,iso,0.04691097489095952,-4.1948,-16.294398903348274,-16.138124018054018,False,1.0,-16.294398903348274,-16.13815695213088,fail_ef_outside,0.339574978639025
JVASP-6394,TaI2Cl2,47,2,80,40,4-5,5,2,0.15541437630997734,0.15624195121739248,0.15627488529425548,0.09382194978191905,1.126920052462561,0.3011638678859093,3.457932962407265,0.35988051047889336,-16.212247544151797,0.09804293625825676,0.19753510731002263,40.986998956924275,amp,iso,0.04691097489095952,40.986998956924275,amp,iso,0.04691097489095952,40.986998956924275,amp,iso,0.04691097489095952,-4.1948,-16.294398903348274,-16.138124018054018,False,1.0,-16.29353839436401,-16.138124018054018,fail_ef_outside,0.33938760179781674
JVASP-6394,TaI2Cl2,47,2,80,40,6-7,6,2,0.034842907565487025,0.03524227659213963,0.03586687760744667,0.09382194978191905,0.14153310821402687,0.23744284113651729,4.216476431201983,0.24143276223314314,-16.02452007088185,0.011246692678928274,0.23683216791138115,11.485928492345725,stiff,iso,0.04691097489095952,9.763039218493866,stiff,iso,0.04691097489095952,6.317260670790149,stiff,iso,0.04691097489095952,-4.1948,-16.0443020682721,-16.008435190664652,False,1.0,-16.0443020682721,-16.009459160706626,fail_ef_outside,0.03360602332922069
JVASP-6394,TaI2Cl2,47,2,80,40,6-7,7,2,0.03524227659216095,0.03524227659213963,0.03586687760744667,0.09382194978191905,0.14137164622874243,0.23762717237467235,4.2130387208381395,0.24145664870095812,-16.023428809784637,0.011246692678928274,0.23683216791138115,11.472825262715489,stiff,iso,0.04691097489095952,9.751901473308168,stiff,iso,0.04691097489095952,6.31005389449352,stiff,iso,0.04691097489095952,-4.1948,-16.0443020682721,-16.008435190664652,False,1.0,-16.043677467256792,-16.008435190664652,fail_ef_outside,0.03359374454728858
JVASP-6394,TaI2Cl2,47,2,80,40,56-57,56,2,0.15682954178688924,0.15847208813720748,0.15851710688076803,0.4569734551645368,1.9786775300635546,0.14171241574969368,7.422792285253433,0.21059889026072323,-4.325447230359325,0.5418618410800832,0.09312520516613813,93.93721389653784,amp,iso,0.2284867275822684,93.93721389653784,amp,iso,0.2284867275822684,74.00297899268001,amp,adiab,0.18,-4.1948,-4.39876130864582,-4.240244201765052,False,1.0,-4.39876130864582,-4.241931766858933,fail_ef_outside,0.2804031727749435
JVASP-6394,TaI2Cl2,47,2,80,40,56-57,57,2,0.15847208813721547,0.15847208813720748,0.15851710688076803,0.4569734551645368,1.9786933180179558,0.14151174876076802,7.432803161692495,0.21030221246711026,-4.3250404009417265,0.5418618410800832,0.09312520516613813,93.80419733789009,amp,iso,0.2284867275822684,93.80419733789009,amp,iso,0.2284867275822684,73.89818962128,amp,adiab,0.18,-4.1948,-4.39876130864582,-4.240244201765052,False,1.0,-4.39871628990226,-4.240244201765052,fail_ef_outside,0.2800083516939674
JVASP-6394,TaI2Cl2,47,2,80,40,58-59,58,2,0.11885566819977411,0.11898417613646295,0.11900358363745767,0.22470705868742602,1.9127608597060535,0.1351122379349382,7.770157319836082,0.19832943531613245,-2.937056347177024,0.5009831275024981,0.12236686850795067,44.040293332940166,amp,iso,0.11235352934371301,44.040293332940166,amp,iso,0.11235352934371301,44.040293332940166,amp,iso,0.11235352934371301,-4.1948,-2.996687450783759,-2.877683867146301,False,0.0,-2.996687450783759,-2.8778317825839985,fail_ef_outside,0.25843740038924123
JVASP-6394,TaI2Cl2,47,2,80,40,58-59,59,2,0.11898417613647005,0.11898417613646295,0.11900358363745767,0.22470705868742602,1.9127226833764048,0.13509285572891483,7.770956996820986,0.19828950448809607,-2.9369536648116887,0.5009831275024981,0.12236686850795067,44.03397563698786,amp,iso,0.11235352934371301,44.03397563698786,amp,iso,0.11235352934371301,44.03397563698786,amp,iso,0.11235352934371301,-4.1948,-2.996687450783759,-2.877683867146301,False,0.0,-2.996668043282764,-2.877683867146301,fail_ef_outside,0.2583951695147915
JVASP-6397,CrI2,12,2,56,40,38-39,38,2,0.3433261096798135,0.34921770736903657,0.35620350016358593,0.16280396756571625,3.3206136079503064,0.1197882867268898,8.435814228293596,0.1880314756036724,-2.4059485107901355,0.5170330493769699,0.1158042729008786,28.28903535190443,amp,iso,0.08140198378285812,28.28903535190443,amp,iso,0.08140198378285812,28.28903535190443,amp,iso,0.08140198378285812,-2.2019,-2.5820310506593587,-2.2258275504957727,False,1.0,-2.5820310506593587,-2.2387049409795456,fail_ef_outside,0.39777061497836336
