icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions
73723,33709,Cl6 K2 Pd1,225,1,0,0,Pd1,4d,"e_g{z2,x2-y2}",0,,
74029,74029,Ba2 Ca1 Ir1 O6,225,1,0,0,Ca1|Ir1,-|5d,"e_g{z2,x2-y2}",0,,
74163,74163,Ba2 Cu2 O7 Tl1 Y1,123,1,0,0,Tl1|Y1|O1,-|4d,"p{x,y}|{xz,yz}",1,Tl,Cu2+
74463,74463,H2 O6 P2 Zr1,147,1,0,0,Zr1,4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
74520,74520,H13 Mg1 O9 P1,146,0,0,1,Mg1|P1|H1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
74521,74520,H13 Mg1 O9 P1,146,0,0,1,Mg1|P1|H1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
74539,74539,Ca1 O6 Sb2,162,1,0,0,Ca1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sb,
74540,74540,O6 Sb2 Sr1,162,1,0,0,Sr1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sb,
74633,74633,Ba1 Cu1 O6 Si2,119,1,0,0,Ba1|Ba2,-,"p{x,y}|{xz,yz}",1,,Cu2+
74680,74680,Cl12 Os1 S2,166,0,0,1,Os1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
74702,74702,In1 Nb1 S2,187,1,0,0,Nb1|In1,-|4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
74790,74790,H12 Cl2 N4 O8 Zn1,216,0,0,1,Zn1|Cl1|Cl2,-|3d,"e_g{z2,x2-y2}",0,,
74877,74877,As2 Cs1 Fe2,139,1,0,0,Cs1,-,"p{x,y}|{xz,yz}",0,,
74889,74889,Co1 Cs1 K2 O2,139,1,0,0,Cs1|Co1,-|3d,"p{x,y}|{xz,yz}",0,,
75079,75079,Bi12 Mn1 O20,197,0,0,1,Mn1,3d,"e_g{z2,x2-y2}",1,Bi,
75384,75384,Cr1 F6 Nb1,139,1,0,0,Cr1|Nb1,3d|4d,"p{x,y}|{xz,yz}",1,,Cr2+
75390,75390,Bi24 Mn2 O40,197,0,0,1,Mn1,3d,"e_g{z2,x2-y2}",1,Bi,
75409,15423,F3 K1 Mn1,221,1,1,0,Mn1|K1,-|3d,"e_g{z2,x2-y2}",0,,
75410,15423,F3 K1 Mn1,221,1,1,0,Mn1|K1,-|3d,"e_g{z2,x2-y2}",0,,
75411,15423,F3 K1 Mn1,221,1,1,0,Mn1|K1,-|3d,"e_g{z2,x2-y2}",0,,
75499,75499,Au1 O1 Rb3,221,1,0,0,Au1|O1,-|5d,"e_g{z2,x2-y2}",0,,
75576,36128,Ba2 Br2 Cu3 O4,139,1,0,0,Cu1,3d,"p{x,y}|{xz,yz}",1,,Cu2+
75588,75588,Fe1 Na1 O2,166,1,0,0,Na1|Fe1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
75720,75720,Ba2 Cu1 Hg1 O4,123,1,0,0,Hg1|Cu1,3d|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75721,75720,Ba2 Cu1 Hg1 O4,123,1,0,0,Hg1|Cu1,3d|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75722,75720,Ba2 Cu1 Hg1 O4,123,1,0,0,Hg1|Cu1,3d|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75723,75720,Ba2 Cu1 Hg1 O4,123,1,0,0,Hg1|Cu1,3d|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75724,75720,Ba2 Cu1 Hg1 O4,123,1,0,0,Hg1|Cu1,3d|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75725,75725,Ba2 Ca1 Cu2 Hg1 O6,123,1,0,0,Hg1|Ca1,-|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75726,75725,Ba2 Ca1 Cu2 Hg1 O6,123,1,0,0,Hg1|Ca1,-|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75727,75725,Ba2 Ca1 Cu2 Hg1 O6,123,1,0,0,Hg1|Ca1,-|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75728,75725,Ba2 Ca1 Cu2 Hg1 O6,123,1,0,0,Hg1|Ca1,-|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75729,75725,Ba2 Ca1 Cu2 Hg1 O6,123,1,0,0,Hg1|Ca1,-|5d,"p{x,y}|{xz,yz}",1,,Cu2+
75816,41549,C1 B2 Ni2 Y1,139,1,0,0,Y1|C1,-|4d,"p{x,y}|{xz,yz}",0,,
75933,17046,H4 Mg3 O9 Si2,157,1,0,0,O4|H2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
75934,17046,H4 Mg3 O9 Si2,157,1,0,0,O4|H2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
75984,75984,H12 Co1 F6 O6 Sn1,148,0,0,1,Co1|Sn1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
76056,76056,Mn3 N1 Ni1,221,1,0,0,Ni1|N1,-|3d,"e_g{z2,x2-y2}",0,,
76070,76070,Mn3 N1 Zn1,221,1,0,0,Zn1|N1,-|3d,"e_g{z2,x2-y2}",0,,
76078,54255,Mn1 Ni1 Sb1,216,1,1,0,Mn1|Ni1|Sb1,-|3d,"e_g{z2,x2-y2}",1,Sb,
76080,76080,Mn1 Ni2 Sb1,225,1,0,0,Mn1|Sb1,-|3d,"e_g{z2,x2-y2}",1,Sb,
76100,76100,Mn1 Pd2 Sb1,225,1,0,0,Mn1|Sb1,-|3d,"e_g{z2,x2-y2}",1,Sb,
76174,24710,Mg6 Mn1 O8,225,1,0,0,Mn1,3d,"e_g{z2,x2-y2}",0,,
76186,23076,O3 Sr1 Ti1,221,1,0,0,Sr1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
76199,54343,Mn1 Rh1 Sb1,216,1,1,0,Mn1|Rh1|Sb1,-|3d|4d,"e_g{z2,x2-y2}",1,Sb,
76201,54343,Mn1 Rh1 Sb1,216,1,1,0,Rh1|Mn1|Sb1,-|3d|4d,"e_g{z2,x2-y2}",1,Sb,
76202,76202,Mn1 Rh2 Sb1,123,1,1,0,Mn1|Sb2,-|3d,"p{x,y}|{xz,yz}",1,Sb,
76204,18007,Mn1 S1,225,1,0,0,Mn1|S1,-|3d,"e_g{z2,x2-y2}",0,,
76205,76205,Mn1 S1,216,1,0,0,Mn1|S1,-|3d,"e_g{z2,x2-y2}",0,,
76227,76227,Mn3 Si1,225,1,1,0,Mn1|Si1,-|3d,"e_g{z2,x2-y2}",0,,
76251,42978,Cu1 Mn1 Sb1,216,1,0,0,Cu1|Mn1|Sb2,-|3d,"e_g{z2,x2-y2}",1,Sb,
76272,47201,Cs2 F6 Mn1,225,0,0,1,Mn1,3d,"e_g{z2,x2-y2}",0,,
76382,67346,N2 Na1 Ta1,166,1,0,0,Na1|Ta1,-|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
76413,76413,Ni3 Si1,221,1,1,0,Si1,-,"e_g{z2,x2-y2}",0,,
76420,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
76436,24985,Ba2 Ca1 O6 W1,225,1,0,0,Ca1|W1,-|5d,"e_g{z2,x2-y2}",0,,
76638,9865,Co1 O1,225,1,0,0,Co1|O1,-|3d,"e_g{z2,x2-y2}",0,,
76639,27856,Fe1 O1,225,1,0,0,Fe1|O1,-|3d,"e_g{z2,x2-y2}",0,,
76669,9866,Ni1 O1,225,1,0,0,Ni1|O1,-|3d,"e_g{z2,x2-y2}",0,,
76763,76763,C1 Fe3 Zn1,221,1,1,0,Zn1|C1,-|3d,"e_g{z2,x2-y2}",0,,
76790,76790,C1 Co3 Mg1,221,1,1,0,Mg1|C1,-,"e_g{z2,x2-y2}",0,,
