icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions
162926,31865,Ca1 O3 Ti1,221,1,0,0,Ca1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
163195,104847,Mg1 Pd1,221,1,0,0,Mg1|Pd1,-|4d,"e_g{z2,x2-y2}",0,,
163228,91062,Fe1 O3 Sr1,221,1,0,0,Fe1|Sr1,-|3d,"e_g{z2,x2-y2}",0,,
163253,26676,Cr1 Cu1 O2,166,1,0,0,Cu1|Cr1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
163254,26676,Cr1 Cu1 O2,166,1,0,0,Cu1|Cr1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
163255,26676,Cr1 Cu1 O2,166,1,0,0,Cu1|Cr1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
163353,76413,Ni3 Si1,221,1,1,0,Si1,-,"e_g{z2,x2-y2}",0,,
163373,84650,Ba2 O6 Sb1 Y1,225,1,0,0,Y1|Sb1,-|4d,"e_g{z2,x2-y2}",1,Sb,
163376,163376,H8 B2 K1 Na1,156,1,0,0,H1|H4|B1|B2|Na1|K1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
163382,163382,O1 Zn1,221,1,0,0,Zn1|O1,-|3d,"e_g{z2,x2-y2}",0,,
163660,605,H8 Cl6 N2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
163697,103142,Cu1 Y1,221,1,0,0,Y1|Cu1,3d|4d,"e_g{z2,x2-y2}",0,,
163889,17046,H4 Mg3 O9 Si2,157,1,0,0,O4|H2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
163890,17046,H4 Mg3 O9 Si2,157,1,0,0,O4|H2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
164054,164054,F3 La1,225,0,0,1,La1|F2,-,"e_g{z2,x2-y2}",0,,
164056,96133,F3 La1,139,1,0,0,La1|F1,-,"p{x,y}|{xz,yz}",0,,
164620,29154,Hf1 O3 Sr1,221,1,0,0,Sr1|Hf1,-|5d,"e_g{z2,x2-y2}",0,,
165076,31865,Ca1 O3 Ti1,221,1,0,0,Ca1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
165120,165120,As2 Rh2 Sr1,139,1,0,0,Sr1,-,"p{x,y}|{xz,yz}",0,,
165164,55601,Al1 Fe1,221,1,0,0,Fe1|Al1,-|3d,"e_g{z2,x2-y2}",0,,
165165,55601,Al1 Fe1,221,1,0,0,Fe1|Al1,-|3d,"e_g{z2,x2-y2}",0,,
165206,165206,F6 Li1 Os1,148,0,0,1,Li1|Os1,-|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
165207,95777,F6 Ir1 Li1,148,0,0,1,Li1|Ir1,-|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
165208,165208,F6 Li1 Pt1,148,0,0,1,Li1|Pt1,-|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
165213,165206,F6 Li1 Os1,148,0,0,1,Li1|Os1,-|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
165214,165206,F6 Li1 Os1,148,0,0,1,Li1|Os1,-|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
165262,165262,I1 La2 Ni2,187,1,0,0,I1|Ni1|Ni2,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
165467,10354,H2 Li1 N1,82,0,0,1,Li1|Li2,-,"p{x,y}|{xz,yz}",0,,
165498,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,
165902,58063,Al1 Ni2 Ti1,225,1,0,0,Al1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
165988,165988,N1 Na3,221,1,1,0,N1,-,"e_g{z2,x2-y2}",0,,
165989,165989,N1 Na3,191,1,0,0,N1|Na1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
166016,166016,As2 Ca1 Fe2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
166225,27970,Ba1 O3 Ti1,221,1,0,0,Ba1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
166816,150701,Fe1 Mo1 O6 Sr2,87,1,1,0,Fe1|Mo1,3d|4d,"p{x,y}|{xz,yz}",0,,
166912,166912,C12 H36 Br2 P4 Tc1,121,0,0,1,Tc1,4d,"p{x,y}|{xz,yz}",0,,
167376,75588,Fe1 Na1 O2,166,1,0,0,Fe1|Na1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
167377,75588,Fe1 Na1 O2,166,1,0,0,Fe1|Na1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
167555,96133,F3 La1,139,1,0,0,La1|F2,-,"p{x,y}|{xz,yz}",0,,
167556,164054,F3 La1,225,0,0,1,La1|F2,-,"e_g{z2,x2-y2}",0,,
167655,105724,Pd3 Ti1,221,1,0,0,Ti1,3d,"e_g{z2,x2-y2}",0,,
167811,58201,Al3 V1,139,1,1,0,V1|Al1,-|3d,"p{x,y}|{xz,yz}",0,,
167834,167834,Ca1 Se1,216,1,0,0,Ca1|Se1,-,"e_g{z2,x2-y2}",0,,
167858,167858,Ag1 N1,225,1,0,0,Ag1|N1,-|4d,"e_g{z2,x2-y2}",0,,
168215,94215,Ba2 O6 Re1 Y1,225,1,0,0,Y1|Re1,4d|5d,"e_g{z2,x2-y2}",0,,
168216,94215,Ba2 O6 Re1 Y1,225,1,0,0,Y1|Re1,4d|5d,"e_g{z2,x2-y2}",0,,
168410,56160,C2 Ba1,139,1,0,0,Ba1,-,"p{x,y}|{xz,yz}",0,,
168448,60440,K2 Se1,225,1,1,0,Se1,-,"e_g{z2,x2-y2}",0,,
168463,151703,Mg1 O6 Sr2 W1,87,1,1,0,Mg1|W1,-|5d,"p{x,y}|{xz,yz}",0,,
168763,15453,Ba1 O3 Ti1,99,1,0,0,Ba1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",0,,
168792,10354,H2 Li1 N1,82,0,0,1,Li1|Li2,-,"p{x,y}|{xz,yz}",0,,
168793,10354,H2 Li1 N1,82,0,0,1,Li1|Li2,-,"p{x,y}|{xz,yz}",0,,
168810,168810,Bi2 O3,160,1,0,0,Bi2,-,"e_g{z2,x2-y2}|other:z+y|{xz,yz}",1,Bi,
168902,168902,Ca1 Mn1 O3,221,1,1,0,Ca1|Mn1,-|3d,"e_g{z2,x2-y2}",0,,
168903,168902,Ca1 Mn1 O3,221,1,1,0,Ca1|Mn1,-|3d,"e_g{z2,x2-y2}",0,,
168905,168902,Ca1 Mn1 O3,221,1,1,0,Ca1|Mn1,-|3d,"e_g{z2,x2-y2}",0,,
168953,168953,Re1 Ti2,164,1,0,0,Re1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
169051,169051,H16 Mg7 V1,225,1,0,0,V1|Mg2,-|3d,"e_g{z2,x2-y2}",0,,
169052,169052,H16 Mg7 Nb1,225,1,0,0,Nb1|Mg2,-|4d,"e_g{z2,x2-y2}",0,,
169171,5391,C2 H30 Mg1 O18 S2,148,0,0,1,Mg1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
169377,94079,Fe1 Mo1 O6 Sr2,139,1,1,0,Mo1|Fe1,3d|4d,"p{x,y}|{xz,yz}",0,,
169396,169396,N1 Pd1,221,1,0,0,Pd1|N1,-|4d,"e_g{z2,x2-y2}",0,,
169407,169407,C1 Sc1,216,1,0,0,Sc1|C1,-|3d,"e_g{z2,x2-y2}",0,,
169468,169468,Co2 Ge1 Ti1,225,1,1,0,Ti1|Ge1,-|3d,"e_g{z2,x2-y2}",0,,
169469,169468,Co2 Ge1 Ti1,225,1,1,0,Ti1|Ge1,-|3d,"e_g{z2,x2-y2}",0,,
169548,55601,Al1 Fe1,221,1,0,0,Fe1|Al1,-|3d,"e_g{z2,x2-y2}",0,,
169549,55601,Al1 Fe1,221,1,0,0,Fe1|Al1,-|3d,"e_g{z2,x2-y2}",0,,
169731,169731,Co2 Ga1 Ni1,225,1,0,0,Ni1|Ga1,-|3d,"e_g{z2,x2-y2}",0,,
169766,169766,Cr1 Te1,216,1,0,0,Cr1|Te1,-|3d,"e_g{z2,x2-y2}",1,Te,Cr2+
169767,169767,Cr1 Te1,225,1,0,0,Cr1|Te1,-|3d,"e_g{z2,x2-y2}",1,Te,Cr2+
169980,169980,H1 Ni1 O2,156,1,0,0,Ni1|O1|O2|H1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,,Ni3+
170772,90550,Al1 La1 O3,221,1,0,0,La1|Al1,-,"e_g{z2,x2-y2}",0,,
171172,160172,Ba2 O6 Ta1 Y1,225,1,0,0,Y1|Ta1,4d|5d,"e_g{z2,x2-y2}",0,,
171173,160172,Ba2 O6 Ta1 Y1,225,1,0,0,Y1|Ta1,4d|5d,"e_g{z2,x2-y2}",0,,
171174,160172,Ba2 O6 Ta1 Y1,225,1,0,0,Y1|Ta1,4d|5d,"e_g{z2,x2-y2}",0,,
171175,160172,Ba2 O6 Ta1 Y1,225,1,0,0,Y1|Ta1,4d|5d,"e_g{z2,x2-y2}",0,,
171236,171236,Br8 S9 Ta4,107,0,0,1,S1,-,"p{x,y}|{xz,yz}",0,,
171479,171479,Ba3 Mn1 Nb2 O9,164,1,0,0,Mn1|Ba2,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
171813,171813,F3 Mg1 Na1,221,1,0,0,Na1|Mg1,-,"e_g{z2,x2-y2}",0,,
171988,171988,Ba2 Ca1 O6 Os1,225,1,0,0,Ca1|Os1,-|5d,"e_g{z2,x2-y2}",0,,
171989,171988,Ba2 Ca1 O6 Os1,225,1,0,0,Ca1|Os1,-|5d,"e_g{z2,x2-y2}",0,,
172166,99698,Ba2 In1 Nb1 O6,225,1,0,0,In1|Nb1,-|4d,"e_g{z2,x2-y2}",0,,
172212,150701,Fe1 Mo1 O6 Sr2,87,1,1,0,Fe1|Mo1,3d|4d,"p{x,y}|{xz,yz}",0,,
172330,172330,Ga1 O6 Sr2 Ta1,87,1,0,0,Ga1|Ta1,-|5d,"p{x,y}|{xz,yz}",0,,
172377,172377,H12 Cs1 Fe1 O10 P1,216,0,0,1,Fe1|Cs1|P1,-|3d,"e_g{z2,x2-y2}",0,,
172595,172595,Cl1 N1 Sr2,166,1,0,0,N1|Cl1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
172596,172595,Cl1 N1 Sr2,166,1,0,0,N1|Cl1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
172600,172600,Br1 N1 Sr2,166,1,0,0,N1|Br1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
172601,172600,Br1 N1 Sr2,166,1,0,0,N1|Br1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
173179,10354,H2 Li1 N1,82,0,0,1,Li1|Li2,-,"p{x,y}|{xz,yz}",0,,
173434,173434,Fe1 O2 Sr1,123,1,0,0,Sr1|Fe1,-|3d,"p{x,y}|{xz,yz}",0,,
173438,173438,Ca1 Fe1 O2,123,1,0,0,Ca1|Fe1,-|3d,"p{x,y}|{xz,yz}",0,,
173487,173487,Ni1 O6 Re1 Sr2,87,1,0,0,Ni1|Re1,3d|5d,"p{x,y}|{xz,yz}",0,,
173488,173488,Co1 O6 Re1 Sr2,87,1,1,0,Co1|Re1,3d|5d,"p{x,y}|{xz,yz}",0,,
173490,173487,Ni1 O6 Re1 Sr2,87,1,0,0,Ni1|Re1,3d|5d,"p{x,y}|{xz,yz}",0,,
173552,173552,C6 Ag3 Fe1 N6,162,1,0,0,Fe1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
173553,173552,C6 Ag3 Fe1 N6,162,1,0,0,Fe1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
173760,5435,Co3 S2 Sn2,166,1,1,0,Sn1|Sn2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
173761,5435,Co3 S2 Sn2,166,1,1,0,Sn1|Sn2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
173762,5435,Co3 S2 Sn2,166,1,1,0,Sn1|Sn2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
173763,5435,Co3 S2 Sn2,166,1,1,0,Sn1|Sn2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
173764,5435,Co3 S2 Sn2,166,1,1,0,Sn1|Sn2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
173842,173842,Ba1 O8 P2 Zr1,164,1,0,0,Ba1|Zr1,-|4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
174027,53059,Co1 O1,139,1,0,0,Co1|O1,-|3d,"p{x,y}|{xz,yz}",0,,
174238,174238,H12 Li3 O10 V1,146,0,0,1,V1|O2,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
174289,174289,Ba2 Bi1 Ir1 O6,225,1,0,0,Bi1|Ir1,-|5d,"e_g{z2,x2-y2}",1,Bi,
174342,174342,Al2 B1 La1 Ru2,123,1,0,0,La1|B1,-,"p{x,y}|{xz,yz}",0,,
174489,26861,S2 Ti1,164,1,0,0,Ti1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
180138,27049,Ba1 O3 Sn1,221,1,0,0,Ba1|Sn1,-,"e_g{z2,x2-y2}",1,Sn,
180457,180457,C1 Ni1,225,1,0,0,Ni1|C1,-|3d,"e_g{z2,x2-y2}",0,,
180563,38138,K1 O2,139,1,0,0,K1,-,"p{x,y}|{xz,yz}",0,,
180564,180564,O2 Rb1,139,1,0,0,Rb1,-,"p{x,y}|{xz,yz}",0,,
180570,60435,Na2 O1,225,1,0,0,O1,-,"e_g{z2,x2-y2}",0,,
180950,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
180951,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
180952,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
180953,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
180972,27856,Fe1 O1,225,1,0,0,Fe1|O1,-|3d,"e_g{z2,x2-y2}",0,,
180973,27856,Fe1 O1,225,1,0,0,Fe1|O1,-|3d,"e_g{z2,x2-y2}",0,,
180974,27856,Fe1 O1,225,1,0,0,Fe1|O1,-|3d,"e_g{z2,x2-y2}",0,,
181056,169766,Cr1 Te1,216,1,0,0,Cr1|Te1,-|3d,"e_g{z2,x2-y2}",1,Te,Cr2+
181086,56095,Ca1 O3 Sn1,221,1,0,0,Ca1|Sn1,-,"e_g{z2,x2-y2}",1,Sn,
181087,56095,Ca1 O3 Sn1,221,1,0,0,Ca1|Sn1,-,"e_g{z2,x2-y2}",1,Sn,
181089,27047,O3 Sn1 Sr1,221,1,0,0,Sr1|Sn1,-,"e_g{z2,x2-y2}",1,Sn,
181091,27049,Ba1 O3 Sn1,221,1,0,0,Ba1|Sn1,-,"e_g{z2,x2-y2}",1,Sn,
181115,158759,Bi1 O3 Sc1,221,1,0,0,Bi1|Sc1,-|3d,"e_g{z2,x2-y2}",1,Bi,
181116,158759,Bi1 O3 Sc1,221,1,0,0,Bi1|Sc1,-|3d,"e_g{z2,x2-y2}",1,Bi,
181117,158759,Bi1 O3 Sc1,221,1,0,0,Bi1|Sc1,-|3d,"e_g{z2,x2-y2}",1,Bi,
181118,158759,Bi1 O3 Sc1,221,1,0,0,Bi1|Sc1,-|3d,"e_g{z2,x2-y2}",1,Bi,
181119,158759,Bi1 O3 Sc1,221,1,0,0,Bi1|Sc1,-|3d,"e_g{z2,x2-y2}",1,Bi,
181120,158759,Bi1 O3 Sc1,221,1,0,0,Bi1|Sc1,-|3d,"e_g{z2,x2-y2}",1,Bi,
181185,41787,B2 Co2 La1,139,1,1,0,La1,-,"p{x,y}|{xz,yz}",0,,
181289,181289,Ru1 Zr1,221,1,0,0,Zr1|Ru1,4d,"e_g{z2,x2-y2}",0,,
181324,181324,Mn1 Te1,216,1,0,0,Mn1|Te1,-|3d,"e_g{z2,x2-y2}",1,Te,
181500,26861,S2 Ti1,164,1,0,0,Ti1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
181557,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
181650,181650,Ga3 Nb1 O14 Si2 Sr3,150,1,0,0,Nb1,4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
181720,103582,Fe1 Pd3,221,1,0,0,Fe1,3d,"e_g{z2,x2-y2}",0,,
181750,181750,Cr1 O6 Sr2 Zr1,225,1,0,0,Cr1|Zr1,3d|4d,"e_g{z2,x2-y2}",0,,
181751,181751,Mn1 Nb1 O6 Sr2,225,1,0,0,Mn1|Nb1,3d|4d,"e_g{z2,x2-y2}",1,,Mn3+
181752,157603,Fe1 Mo1 O6 Sr2,225,1,1,0,Fe1|Mo1,3d|4d,"e_g{z2,x2-y2}",0,,
181768,44667,Ir2 Si2 Y1,139,1,0,0,Y1,4d,"p{x,y}|{xz,yz}",0,,
181769,44667,Ir2 Si2 Y1,139,1,0,0,Y1,4d,"p{x,y}|{xz,yz}",0,,
181782,168902,Ca1 Mn1 O3,221,1,1,0,Ca1|Mn1,-|3d,"e_g{z2,x2-y2}",0,,
182001,182001,Mn1 O6 Pb2 Re1,225,1,0,0,Mn1|Re1,3d|5d,"e_g{z2,x2-y2}",1,Pb,
182051,182051,Ca2 Ge1 O4,164,1,1,0,Ca2|Ca3,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
182052,182052,Ca2 O4 Si1,164,1,1,0,Ca2|Ca3,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
182276,182276,As2 Ca1 Fe2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
182277,166016,As2 Ca1 Fe2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
182278,166016,As2 Ca1 Fe2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
182279,166016,As2 Ca1 Fe2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
182352,182352,N3 O1 Ta2,191,1,0,0,O1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
182353,182353,F1 N3 Ta2,191,1,0,0,F1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
182360,163382,O1 Zn1,221,1,0,0,Zn1|O1,-|3d,"e_g{z2,x2-y2}",0,,
182470,10354,H2 Li1 N1,82,0,0,1,Li1|Li3,-,"p{x,y}|{xz,yz}",0,,
182471,10354,H2 Li1 N1,82,0,0,1,Li1|Li3,-,"p{x,y}|{xz,yz}",0,,
182484,182484,Cr1 Ni1 Sb1,216,1,0,0,Ni1|Cr1|Sb1,-|3d,"e_g{z2,x2-y2}",1,Sb,
182485,54255,Mn1 Ni1 Sb1,216,1,1,0,Ni1|Mn1|Sb1,-|3d,"e_g{z2,x2-y2}",1,Sb,
182507,44385,Rh1 Si1,221,1,0,0,Rh1|Si1,-|4d,"e_g{z2,x2-y2}",0,,
182513,54245,La1 Ni5,191,1,1,0,La1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
182572,41787,B2 Co2 La1,139,1,1,0,La1,-,"p{x,y}|{xz,yz}",0,,
182573,41787,B2 Co2 La1,139,1,1,0,La1,-,"p{x,y}|{xz,yz}",0,,
182734,182734,H4 B1 Na1,215,1,0,0,Na1|B1,-,"e_g{z2,x2-y2}",0,,
182742,60441,K2 Te1,225,1,1,0,Te1,-,"e_g{z2,x2-y2}",1,Te,
182743,55115,Rb2 Te1,225,1,0,0,Te1,-,"e_g{z2,x2-y2}",1,Te,
182829,182829,Mn2 Ru1 Sn1,216,1,0,0,Mn1|Mn2|Ru1|Sn1,-|3d|4d,"e_g{z2,x2-y2}",1,Sn,
182830,182830,Mn2 Ru1 Si1,216,1,0,0,Mn1|Mn2|Ru1|Si1,-|3d|4d,"e_g{z2,x2-y2}",0,,
182837,67370,Co2 K1 Se2,139,1,0,0,K1,-,"p{x,y}|{xz,yz}",0,,
182838,67370,Co2 K1 Se2,139,1,0,0,K1,-,"p{x,y}|{xz,yz}",0,,
182948,9866,Ni1 O1,225,1,0,0,Ni1|O1,-|3d,"e_g{z2,x2-y2}",0,,
183043,160708,Co1 Mn2 Sn1,216,1,0,0,Mn1|Mn2|Co1|Sn1,-|3d,"e_g{z2,x2-y2}",1,Sn,
183095,107033,Mg1 Ni4 Y1,216,1,1,0,Y1|Mg1,-|4d,"e_g{z2,x2-y2}",0,,
183110,51894,Ca1 Cu3 O12 Ru4,204,1,0,0,Ca1,-,"e_g{z2,x2-y2}",1,,Cu2+
183160,183160,C1 Y1,216,1,0,0,Y1|C1,-|4d,"e_g{z2,x2-y2}",0,,
183162,183162,C1 Zr1,216,1,0,0,Zr1|C1,-|4d,"e_g{z2,x2-y2}",0,,
183180,161077,N1 Y1,216,1,0,0,Y1|N1,-|4d,"e_g{z2,x2-y2}",0,,
183195,167858,Ag1 N1,225,1,0,0,Ag1|N1,-|4d,"e_g{z2,x2-y2}",0,,
183242,183242,Pb1 S1,221,1,0,0,Pb1|S1,-,"e_g{z2,x2-y2}",1,Pb,
183383,54245,La1 Ni5,191,1,1,0,La1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
183385,183385,La1 Ni3 Rh2,191,1,0,0,La1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
183408,108651,O3 W1,221,1,1,0,W1,5d,"e_g{z2,x2-y2}",0,,
183453,109076,O3 Sr1 Tc1,221,1,1,0,Sr1|Tc1,-|4d,"e_g{z2,x2-y2}",0,,
183771,24982,Ba2 Mg1 O6 W1,225,1,0,0,Mg1|W1,-|5d,"e_g{z2,x2-y2}",0,,
183837,26735,K2 S1,225,1,1,0,S1,-,"e_g{z2,x2-y2}",0,,
183914,183914,Ca1 F6 Si1,148,0,0,1,Ca1|Si1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
183932,15453,Ba1 O3 Ti1,99,1,0,0,Ba1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",0,,
184078,77142,Co1 O3 Sr1,221,1,0,0,Sr1|Co1,-|3d,"e_g{z2,x2-y2}",0,,
184164,107420,La1 Mg1 Ni4,216,1,1,0,La1|Mg1,-,"e_g{z2,x2-y2}",0,,
184279,1303,Ca1 Cu3 Ge4 O12,204,0,0,1,Ca1,-,"e_g{z2,x2-y2}",1,,Cu2+
184281,162100,Ca1 Cu3 O12 Sn4,204,0,0,1,Ca1,-,"e_g{z2,x2-y2}",1,Sn,Cu2+
184338,27049,Ba1 O3 Sn1,221,1,0,0,Ba1|Sn1,-,"e_g{z2,x2-y2}",1,Sn,
184375,184375,Fe1 N1,225,1,0,0,Fe1|N1,-|3d,"e_g{z2,x2-y2}",0,,
184376,41258,Fe1 N1,216,1,0,0,Fe1|N1,-|3d,"e_g{z2,x2-y2}",0,,
184378,79936,Co1 N1,216,1,0,0,Co1|N1,-|3d,"e_g{z2,x2-y2}",0,,
184446,57654,Al1 Cr1 Fe2,225,1,1,0,Al1|Cr1,-|3d,"e_g{z2,x2-y2}",0,,
184448,102755,Cr1 Fe2 Ga1,225,1,1,0,Ga1|Cr1,-|3d,"e_g{z2,x2-y2}",0,,
184455,23076,O3 Sr1 Ti1,221,1,0,0,Sr1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
184467,26676,Cr1 Cu1 O2,166,1,0,0,Cu1|Cr1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
184497,184497,Te1 Zn1,225,1,0,0,Zn1|Te1,-|3d,"e_g{z2,x2-y2}",1,Te,
184562,184562,As1 F6 Na1,148,0,0,1,As1|Na1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
184563,184562,As1 F6 Na1,148,0,0,1,As1|Na1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
184564,184564,As1 F6 Na1,225,0,0,1,As1|Na1,-,"e_g{z2,x2-y2}",0,,
184565,184564,As1 F6 Na1,225,0,0,1,As1|Na1,-,"e_g{z2,x2-y2}",0,,
184626,9866,Ni1 O1,225,1,0,0,Ni1|O1,-|3d,"e_g{z2,x2-y2}",0,,
184791,29154,Hf1 O3 Sr1,221,1,0,0,Sr1|Hf1,-|5d,"e_g{z2,x2-y2}",0,,
184905,103699,Fe5 Y1,191,1,0,0,Y1,4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
184909,96688,Ba2 Fe1 Mo1 O6,225,1,1,0,Fe1|Mo1,3d|4d,"e_g{z2,x2-y2}",0,,
184910,97028,Ba2 Co1 Mo1 O6,225,1,1,0,Co1|Mo1,3d|4d,"e_g{z2,x2-y2}",0,,
184911,94079,Fe1 Mo1 O6 Sr2,139,1,1,0,Fe1|Mo1,3d|4d,"p{x,y}|{xz,yz}",0,,
184918,9866,Ni1 O1,225,1,0,0,Ni1|O1,-|3d,"e_g{z2,x2-y2}",0,,
184921,23076,O3 Sr1 Ti1,221,1,0,0,Sr1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
184922,39673,K1 O3 Ta1,221,1,0,0,K1|Ta1,-|5d,"e_g{z2,x2-y2}",0,,
184925,184925,As1 Mn1,216,1,0,0,Mn1|As1,-|3d,"e_g{z2,x2-y2}",1,,Mn3+
185106,185106,Cd1 Ni4 Sc1,216,1,1,0,Sc1|Cd1,3d|4d,"e_g{z2,x2-y2}",0,,
185374,27970,Ba1 O3 Ti1,221,1,0,0,Ba1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
185407,15453,Ba1 O3 Ti1,99,1,0,0,Ba1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",0,,
185488,185488,C12 H36 Cl2 P4 W1,121,0,0,1,W1,5d,"p{x,y}|{xz,yz}",0,,
185489,185489,C12 H36 Cl2 Mo1 P4,121,0,0,1,Mo1,4d,"p{x,y}|{xz,yz}",0,,
185555,167858,Ag1 N1,225,1,0,0,Ag1|N1,-|4d,"e_g{z2,x2-y2}",0,,
185615,27049,Ba1 O3 Sn1,221,1,0,0,Ba1|Sn1,-,"e_g{z2,x2-y2}",1,Sn,
185625,59435,In1 Ni1,191,1,1,0,In1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
185637,105724,Pd3 Ti1,221,1,0,0,Ti1,3d,"e_g{z2,x2-y2}",0,,
185664,185664,Co1 In1 Ti2,216,1,0,0,Ti1|Ti2|Co1|In1,-|3d,"e_g{z2,x2-y2}",0,,
185693,185693,Ge1 O3 Pb1,221,1,0,0,Pb1|Ge1,-,"e_g{z2,x2-y2}",1,Pb,
185694,185693,Ge1 O3 Pb1,221,1,0,0,Pb1|Ge1,-,"e_g{z2,x2-y2}",1,Pb,
185695,185693,Ge1 O3 Pb1,221,1,0,0,Pb1|Ge1,-,"e_g{z2,x2-y2}",1,Pb,
185696,185693,Ge1 O3 Pb1,221,1,0,0,Pb1|Ge1,-,"e_g{z2,x2-y2}",1,Pb,
185697,185693,Ge1 O3 Pb1,221,1,0,0,Pb1|Ge1,-,"e_g{z2,x2-y2}",1,Pb,
185698,185693,Ge1 O3 Pb1,221,1,0,0,Pb1|Ge1,-,"e_g{z2,x2-y2}",1,Pb,
185699,185693,Ge1 O3 Pb1,221,1,0,0,Pb1|Ge1,-,"e_g{z2,x2-y2}",1,Pb,
