icsd,source,formula,spg,spg_symbol,M,X,priority,dim,motif,n_M_sites,angles_raw,angles_grouped,angle_min,angle_max,spread,d_MX,d_MX_mean,regime
16829,ICSD (local cache),As2 Cu1 O4,135,P42/mbc,Cu,As,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.23 A > cutoff 2.89 A (not bonded)
18115,ICSD (local cache),As2 Cu1 O8 Zn2,2,P-1,Cu,As,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.22 A > cutoff 2.89 A (not bonded)
26839,ICSD (local cache),As2 Cu1 O8 Zn2,2,P-1,Cu,As,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.22 A > cutoff 2.89 A (not bonded)
100249,ICSD (local cache),As2 Cu1 O8 Zn2,2,P-1,Cu,As,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.21 A > cutoff 2.89 A (not bonded)
300120,ICSD (local cache),As2 K2 Ni1,63,Cmcm,Ni,As,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
1830,ICSD (local cache),Ba1 Cu1 K2 N6 O12,69,Fmmm,Cu,N,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.31 A (coordination > 4)
66534,ICSD (local cache),Ba1 Cu1 O7 P2,2,P-1,Cu,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.13 A > cutoff 2.75 A (not bonded)
192060,ICSD (local cache),Ba1 Cu1 O7 P2,2,P-1,Cu,P,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.33 A > cutoff 2.75 A (not bonded)
41549,ICSD (local cache),C1 B2 Ni2 Y1,139,I4/mmm,Ni,C,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.17 A > cutoff 2.30 A (not bonded)
75816,ICSD (local cache),C1 B2 Ni2 Y1,139,I4/mmm,Ni,C,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.17 A > cutoff 2.30 A (not bonded)
