icsd,site_label,element,shell,site_sym_order,max_rot_order,orbit_conv,orbit_prim,d_doublets,p_doublets,doublet_kinds,n_phi,verdict,d_multiplets,lone_pair,jt_ions,chem_flag
66317,C1,C,-,1,1,12,12,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),Tl,,1
66317,O2,O,-,1,1,12,12,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),Tl,,1
66347,Pt1,Pt,5d,2,1,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66347,Cu1,Cu,3d,2,2,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,Cu2+,1
66347,Sr1,Sr,-,2,2,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,Cu2+,1
66347,Sr2,Sr,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66347,O1,O,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66347,O2,O,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66347,O3,O,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66379,Pb1,Pb,-,2,2,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),Pb,,1
66379,Pb2,Pb,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),Pb,,1
66379,P1,P,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),Pb,,1
66379,O1,O,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),Pb,,1
66379,O2,O,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),Pb,,1
66379,O3,O,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),Pb,,1
66379,O4,O,-,1,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),Pb,,1
66490,Mg1,Mg,-,4,2,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
66490,Mg2,Mg,-,4,2,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
66490,Mg3,Mg,-,2,2,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
66490,Si1,Si,-,2,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
66490,O1,O,-,4,2,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
66490,O2,O,-,4,2,4,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(z2),,,0
66490,O3,O,-,2,1,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
66490,O4,O,-,1,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66534,Ba1,Ba,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66534,Cu1,Cu,3d,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66534,P1,P,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66534,P2,P,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66534,O1,O,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66534,O2,O,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
66534,O3,O,-,1,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Cu2+,1
