jid,formula,spg,dim,band,W_band,M_trg,d_iso,nphi,gap_mean,unif_gap
JVASP-15858,Tb3AlC,221,3,19,0.21610999749827187,0.38715850450776507,1.3584131164401265,1.1658805216440467,0.001521896853131916,0.04630614117447978
JVASP-16001,K2RhF6,164,3,70,0.3120361795891107,0.06462087362374919,4.785188009656041,1.098075780879287,0.1696219208686535,0.9806906954946324
JVASP-16008,TaSnO3,221,3,36,0.4479363076415872,0.022061505229135834,1.877567573940624,1.0608636737214279,0.15094354318271616,0.5756373962515321
JVASP-16408,LiIrF6,148,3,40,0.15407429913153797,0.9678707166751297,0.277678343424032,16.814305494950464,0.07172325870837278,0.015099658433559074
JVASP-16408,LiIrF6,148,3,41,0.1499749413825119,0.9583123333213805,0.277678343424032,15.373741255451199,0.07172325870837278,0.015099658433559074
JVASP-16859,ZnCu2GeTe4,121,3,1,0.44180435886912583,0.4457556223463381,0.17414650488142236,21.41004003576002,0.005853345272683695,0.1226193904713926
JVASP-16859,ZnCu2GeTe4,121,3,8,0.3590281611923505,0.6156777646999348,0.6221912491444073,20.23833906900068,0.012399823189493009,0.03854077731068566
JVASP-16859,ZnCu2GeTe4,121,3,9,0.38360953488006855,0.6134618860584414,0.6221912491444073,19.575458455879076,0.012399823189493009,0.03854077731068566
JVASP-17265,BaIrF6,148,3,40,0.0809366889083647,0.3781327437211506,0.19706173118438242,12.597046246117575,0.2961561545121476,0.6939119104870889
JVASP-17265,BaIrF6,148,3,41,0.08109701445743633,0.32815595684435017,0.19706173118438242,11.028295363492346,0.4699253049348166,0.9377263607541662
JVASP-17430,ZnCu2SnSe4,121,3,8,0.1382235780723713,0.6415398671289398,0.381630878259843,22.098592226276853,0.028854611357365244,0.04320387686320107
JVASP-17430,ZnCu2SnSe4,121,3,9,0.13814221556560646,0.6539732329586485,0.381630878259843,20.409140377174477,0.028854611357365244,0.04320387686320107
JVASP-17890,Tb3PbC,221,3,20,0.054759211163024624,0.12229183675500271,0.3194950897798803,1.064566183800928,0.008078206337214401,0.05103178778777474
JVASP-17890,Tb3PbC,221,3,21,0.05529049816534659,0.12025633837825578,0.3194950897798803,1.0645567850067967,0.008078206337214401,0.05103178778777474
JVASP-18176,Rb2RhF6,164,3,70,0.1980388423757411,0.0720429095150558,4.355135789999791,1.1104359873480345,0.16840127153775286,0.9770444087438396
JVASP-18522,Ba3PbO,221,3,1,0.4899970513829728,2.5559423514531936,3.010271467498157,2.229250522469494,0.005902304439633966,0.0020602926354253252
JVASP-19540,CNCl,25,2,1,0.42076573308684395,0.8661166104740494,2.923315158871681,4.357234771786003,0.0007658020748397698,0.0194453776812113
JVASP-19557,PtS2Cl6,2,2,1,0.03322786016125079,0.17674478638022095,0.36265866994605567,13.181301077929916,0.00039699739808146006,0.12594266919538807
JVASP-19557,PtS2Cl6,2,2,44,0.08686611057532989,1.6987741728975698,0.07492810960024165,20.10706188071434,0.00017959274426490034,0.0059270465458305345
JVASP-19557,PtS2Cl6,2,2,45,0.08686783081648919,1.6986269909874223,0.07492810960024165,20.111849540865553,0.00017959274426490034,0.0059270465458305345
JVASP-19557,PtS2Cl6,2,2,46,0.232606147109498,1.0566134029694325,0.32869091758700497,18.81983673959157,0.00010186471024335453,0.0038344419140569023
JVASP-19557,PtS2Cl6,2,2,47,0.23241338570799108,1.0565149357080548,0.32869091758700497,18.822255851022604,0.00010186471024335453,0.0038344419140569023
JVASP-19557,PtS2Cl6,2,2,58,0.433066968309221,1.2591931938223864,2.3165386216301127,4.023079575882385,0.0009441868654876114,0.0032136248187150896
JVASP-19584,Tl2SnAs2S6,147,2,4,0.16410430784643637,5.52531919185712,1.0562874702452287,7.205511519628869,0.00014724903021438474,0.03331645336193771
JVASP-19584,Tl2SnAs2S6,147,2,5,0.16401380582887093,5.525309269788169,1.0562874702452287,7.2012846057472935,0.00014724903021438474,0.03331645336193771
JVASP-19584,Tl2SnAs2S6,147,2,44,0.4284681942367481,1.4709125035280026,0.3095611131121269,20.528280856456664,0.0009138432075674621,0.013602946715739162
JVASP-19584,Tl2SnAs2S6,147,2,45,0.428629210508807,1.4715372129825313,0.3095611131121269,20.59700861436509,0.0009138432075674621,0.013602946715739162
JVASP-19584,Tl2SnAs2S6,147,2,74,0.2672318121076782,1.879974745568536,0.12214921182755045,7.13785566632546,0.02910900709699603,0.0003158178641444362
JVASP-19759,TbSe,225,3,22,0.021824547468286326,0.10497814723949858,1.5611877696417729,1.4466714840873163,0.006916464127937326,0.1911825888866736
JVASP-19850,HgSe,216,3,1,0.3673953277254949,0.961051998420013,4.5343420547216216,7.242732635630854,0.0037903204077230183,0.014902810868434348
JVASP-20002,Bi,164,2,14,0.4687841002785097,2.8624774304097507,0.17095800881662082,13.957652566302107,0.0002799358603187228,0.01424239711045319
JVASP-20017,MnI2,164,2,24,0.20787986201597441,1.5653348082887244,0.3256992023356716,4.562275161097535,0.1326020618452635,0.0914250064439461
JVASP-20017,MnI2,164,2,25,0.2496786215486153,1.5091393797352686,0.3256992023356716,5.627772861068425,0.1326020618452635,0.0914250064439461
JVASP-20035,Rb3Mo2Cl9,187,2,1,0.45359181578129615,0.279802649337903,0.06104706676671601,7.205846608793215,0.15699297777127416,0.7263522721088699
JVASP-20035,Rb3Mo2Cl9,187,2,58,0.08032275075181561,0.2677853688042391,0.060569554990784535,11.263864421782273,0.12382454917538652,0.19746284760492455
JVASP-20035,Rb3Mo2Cl9,187,2,59,0.10971932101157567,0.3051553479536322,0.060569554990784535,11.88540900726953,0.12382454917538652,0.19746284760492455
JVASP-20035,Rb3Mo2Cl9,187,2,63,0.10914347641645106,0.2916378566083704,0.13847027064455109,8.70117706378282,0.12906241550402772,0.03574712539068287
JVASP-20035,Rb3Mo2Cl9,187,2,64,0.07882344391435381,0.2796316934463623,0.13847027064455109,9.40479117242582,0.12906241550402772,0.03574712539068287
JVASP-20040,KrF2,47,2,2,0.2273547046846467,1.0121689327958778,1.745002247136922,5.590966655858149,0.0013627531771977686,0.0031754125858480206
JVASP-20040,KrF2,47,2,3,0.23032812711162975,1.0122028354726114,1.745002247136922,5.590427059378588,0.0013627531771977686,0.0031754125858480206
JVASP-20040,KrF2,47,2,4,0.2157787871622805,0.2827445368047494,0.11869475420872888,4.8944862572950685,0.002611755278536527,0.10590590974825397
JVASP-20040,KrF2,47,2,5,0.2132987998031144,0.2832908735195844,0.11869475420872888,4.895267189451992,0.002611755278536527,0.10590590974825397
JVASP-20040,KrF2,47,2,6,0.34214747064717166,0.7815003002141178,0.11869475420872888,5.360796870439957,0.0032604915467339722,0.04096712931175209
