jid,formula,band,norb,dim,M_naive,M_min,ratio,centres,status
JVASP-20040,KrF2,3,20,2,1.0122028354726114,1.058958639924432,1.046192129495458,minus,OK
JVASP-20040,KrF2,4,20,2,0.2827445368047494,0.2963492129013547,1.0481164950182575,minus,OK
JVASP-20040,KrF2,5,20,2,0.2832908735195844,0.2968939088091803,1.0480179086625447,minus,OK
JVASP-20040,KrF2,6,20,2,0.7815003002141178,0.7966519275615455,1.0193878714355917,plus,OK
JVASP-20040,KrF2,7,20,2,0.7810623669561765,0.7961902168299905,1.0193682995287145,plus,OK
JVASP-20040,KrF2,18,20,2,0.11204269855017629,0.15109493156741186,1.3485477726131947,minus,OK
JVASP-20040,KrF2,19,20,2,0.11198819416700585,0.1511820616827899,1.3499821370218272,minus,OK
JVASP-20042,W6CCl8,0,188,2,3.583107805354265,3.5845552768894287,1.0004039709698382,minus,OK
JVASP-20042,W6CCl8,1,188,2,3.584488555230958,3.5860353375014817,1.0004315210515224,minus,OK
JVASP-20042,W6CCl8,128,188,2,1.6436761173768515,1.6442728639190987,1.000363056040018,minus,OK
JVASP-20042,W6CCl8,129,188,2,1.6407924016936724,1.6384474903810995,0.9985708665458516,minus,OK
JVASP-20042,W6CCl8,140,188,2,1.584081412306543,1.5959834539487041,1.0075135290078499,minus,OK
JVASP-20042,W6CCl8,141,188,2,1.5827374521193704,1.593743268734408,1.0069536590546335,minus,OK
JVASP-20042,W6CCl8,142,188,2,2.6857315568685443,2.695769387999942,1.0037374662801748,minus,OK
JVASP-20042,W6CCl8,143,188,2,2.6910894807524652,2.705003976765828,1.0051705809535074,minus,OK
JVASP-20042,W6CCl8,168,188,2,1.6600878216841455,1.6520344660243635,0.9951488375767904,minus,OK
JVASP-20042,W6CCl8,169,188,2,1.6627758343397816,1.655589425802443,0.995678065323705,minus,OK
JVASP-20042,W6CCl8,174,188,2,1.7829534023278768,1.7925308689746495,1.0053716864581363,minus,OK
JVASP-20042,W6CCl8,175,188,2,1.693545342315192,1.6813505520696734,0.992799253766157,minus,OK
JVASP-21389,Sr3CuPtO6,102,192,3,0.4644890313327108,0.360642366335298,0.7764281651614976,minus,OK
JVASP-21389,Sr3CuPtO6,103,192,3,0.4513742627922367,0.3365269872228319,0.7455608681386695,minus,OK
JVASP-21502,Li2RhF6,82,104,3,0.7371268878357692,0.5493710439434674,0.7452869417861562,minus,OK
JVASP-21502,Li2RhF6,83,104,3,0.7781605930579247,0.5375847322045715,0.6908403445258435,minus,OK
JVASP-22031,Tl6TeO12,126,128,3,0.25067561056453797,0.0969775056376943,0.3868645434603494,minus,OK
JVASP-22031,Tl6TeO12,127,128,3,0.2416669358753784,0.09199943639571981,0.38068689894409724,minus,OK
JVASP-22441,Na3Cd2IrO6,40,96,3,1.0824878993522447,0.7629594963550259,0.7048203465475938,minus,OK
JVASP-22441,Na3Cd2IrO6,41,96,3,1.0729157184857687,0.7530239925147324,0.7018482249262719,minus,OK
JVASP-22600,RbS,0,36,3,4.305495499868371,3.958939223238107,0.9195083872133046,minus,OK
JVASP-22600,RbS,1,36,3,4.306054896893524,3.9589729829165847,0.9193967744750928,minus,OK
JVASP-22653,Sr3BiN,0,50,3,2.8655283333719375,2.8527993475499245,0.9955578921786356,minus,OK
JVASP-22653,Sr3BiN,1,50,3,2.8655996844156104,2.85280466536447,0.9955349593592137,minus,OK
JVASP-22720,Ba2SbAu,0,44,3,2.7536532324683365,2.7387508499597857,0.9945881411890078,minus,OK
JVASP-22720,Ba2SbAu,1,44,3,2.754649571153954,2.738562702149448,0.9941601032766694,minus,OK
JVASP-23440,Sr2AsAu,0,44,3,2.5465956818231126,2.5513696706472215,1.0018746551948488,minus,OK
JVASP-23440,Sr2AsAu,1,44,3,2.5472389261439434,2.5530724791085886,1.002290147541627,minus,OK
JVASP-26224,Na3In2Au,0,208,3,0.8143909994540667,2.2987425725396875,2.8226522322578065,minus,OK
JVASP-26224,Na3In2Au,1,208,3,0.8143505674862392,2.2923240953522774,2.814910662404632,minus,OK
JVASP-26325,AgSbO3,4,76,3,1.4832041731943422,2.840433850627744,1.915065978077966,minus,OK
JVASP-26325,AgSbO3,5,76,3,1.4836264440647038,2.840809290368116,1.9147739660026057,minus,OK
JVASP-26528,Rb2IrF6,4,72,3,0.5726415241525791,0.23909473502739817,0.4175295100739008,minus,OK
JVASP-26528,Rb2IrF6,5,72,3,0.5858659839347778,0.25412718441136134,0.43376333731581235,minus,OK
JVASP-27330,Rb2Na4Co2O5,0,220,3,0.5257160750026061,0.4415139506954722,0.8398334608529586,minus,OK
JVASP-27330,Rb2Na4Co2O5,1,220,3,0.4863938161358521,0.444784714572935,0.9144538845220527,minus,OK
JVASP-27330,Rb2Na4Co2O5,84,220,3,0.5783742433798813,0.47103124389726647,0.8144056366422406,minus,OK
JVASP-27330,Rb2Na4Co2O5,85,220,3,0.56485209173126,0.4613860223649249,0.8168262614568466,minus,OK
JVASP-27330,Rb2Na4Co2O5,86,220,3,0.5087443659564994,0.4353047571178328,0.8556453618889882,minus,OK
JVASP-27330,Rb2Na4Co2O5,87,220,3,0.5355536798015499,0.43071491137339485,0.8042422778851913,minus,OK
JVASP-27766,CrAgP2S6,148,152,2,0.6014596057816869,0.540330663796521,0.8983656734424921,minus,OK
JVASP-27766,CrAgP2S6,149,152,2,0.5974396246635651,0.5352768347202594,0.8959513440737861,minus,OK
JVASP-27889,AgClO4,0,42,2,0.922759314014636,0.9536454932662284,1.033471544293838,minus,OK
JVASP-27889,AgClO4,1,42,2,0.9225997556408192,0.9552696374378167,1.035410676837114,minus,OK
JVASP-27906,CrClO,44,48,2,1.8174151911623313,1.70271382400874,0.9368876370620443,minus,OK
JVASP-27906,CrClO,45,48,2,1.8188032691192242,1.7040845685066328,0.9369262731377511,minus,OK
JVASP-27940,FePSe3,0,88,2,0.2706947429725561,0.07738680592875263,0.28588218994928305,minus,OK
JVASP-27940,FePSe3,1,88,2,0.2668395804571271,0.07550986854198027,0.2829785162029678,minus,OK
JVASP-27940,FePSe3,2,88,2,0.35328055298999805,0.10759716511903555,0.304565774165559,minus,OK
JVASP-27940,FePSe3,3,88,2,0.3516959907729642,0.10649753754287036,0.30281134939527754,minus,OK
JVASP-27940,FePSe3,14,88,2,0.28553251494960574,0.13227055523206507,0.4632416565777449,minus,OK
JVASP-27940,FePSe3,15,88,2,0.28553435181785625,0.13092129553805848,0.4585132916741794,minus,OK
JVASP-27971,CoCl2O8,47,72,2,0.8414633056279953,nan,nan,no,NO_CENTRES
JVASP-27971,CoCl2O8,48,72,2,0.7961243968981612,nan,nan,no,NO_CENTRES
JVASP-27971,CoCl2O8,49,72,2,0.5866099703929571,nan,nan,no,NO_CENTRES
JVASP-27971,CoCl2O8,50,72,2,0.5765762468034297,nan,nan,no,NO_CENTRES
JVASP-27971,CoCl2O8,52,72,2,0.5097397469292654,nan,nan,no,NO_CENTRES
JVASP-27971,CoCl2O8,53,72,2,0.5076647069709854,nan,nan,no,NO_CENTRES
