jid,formula,spg_number,spg_symbol,dimensionality,icsd,mp_id,num_wann,num_bands,optb88vdw_bandgap,zip,zip_bytes,n_files_in_zip,has_hr_dat,hr_dat_name,hr_dat_bytes,has_win,has_wout,has_eig,has_poscar,figshare_article,error,metadata_source
JVASP-18373,HBr,225,Fm-3m,3D,"28841,63670",mp-23903,10,32,0.0,JVASP-18373.zip,955816,12,True,wannier90_hr.dat,2667762,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18426,AlCl3,164,P-3m1,3D,155670,mp-25470,26,58,0.0,JVASP-18426.zip,2223270,12,True,wannier90_hr.dat,11662809,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18469,Na3Bi,194,P6_3/mmc,3D,26881,mp-27838,64,84,0.0,JVASP-18469.zip,4819610,12,True,wannier90_hr.dat,23962254,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18483,P2Rh3,115,P-4m2,3D,35626,mp-28056,52,78,0.0,JVASP-18483.zip,9143378,12,True,wannier90_hr.dat,54758113,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18487,Bi4Te3,166,R-3m,3D,30526,mp-28229,56,96,0.034,JVASP-18487.zip,6248215,12,True,wannier90_hr.dat,34967591,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18521,Ca3SnO,221,Pm-3m,3D,"100787,181084,181085",mp-29241,50,60,0.0,JVASP-18521.zip,3020937,12,True,wannier90_hr.dat,15625695,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18522,Ba3PbO,221,Pm-3m,3D,100791,mp-29242,50,60,0.0,JVASP-18522.zip,3409082,12,True,wannier90_hr.dat,15625695,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18539,Sb3Au,229,Im-3m,3D,43504,mp-29665,36,64,0.0,JVASP-18539.zip,3102824,12,True,wannier90_hr.dat,14581201,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18542,Dy3AlC,221,Pm-3m,3D,43848,mp-29676,64,71,0.0,JVASP-18542.zip,14793119,12,True,wannier90_hr.dat,70248199,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18560,YSi2Rh3,191,P6/mmm,3D,52080,mp-30028,64,86,0.0,JVASP-18560.zip,11875266,12,True,wannier90_hr.dat,71886640,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18599,BaAu5,191,P6/mmm,3D,58395,mp-30364,72,120,0.0,JVASP-18599.zip,16608398,12,True,wannier90_hr.dat,95646731,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18600,BeAu,198,P2_13,3D,58396,mp-30365,80,120,0.0,JVASP-18600.zip,17227049,12,True,wannier90_hr.dat,109761799,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
