num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
215,Sc4OsCl4,C2/c,15,Triv.,no,,,,NM,,HQ,1,421532,
216,MgTeMoO6,P21212,18,Triv.,no,,,b,NM,,HQ,1,184714,
217,Zn(TeMoO6),P21212,18,Triv.,no,,,"b,s",NM,,HQ,2,250523 163981,
218,As2O5,P212121,19,Triv.,no,,,"b,s",NM,,HQ,2,987 654040,
219,AsPO5,P212121,19,Triv.,no,,,b,NM,,HQ,1,36649,
220,SbAsO5,P212121,19,Triv.,no,,,b,NM,,HQ,1,36650,
221,NaCu(PO4),P212121,19,SM,no,,,b,FM,,HQ,1,35451,
222,BaVS3,C2221,20,SM,no,,,"b,s",FM,,HQ,1,63230,
223,GeTiONF,Pmm2,25,Triv.,no,,,,,,,1,674260,
224,KCu(CO3)F,Pmc21,26,SM,no,,,b,FM,,HQ,1,75401,
225,CsBi(Nb2O7),Pmc21,26,Triv.,no,,,"b,s",NM,,HQ,5,96510 162981 162982 162983 162984,
226,Bi2(MoO6),Pca21,29,Triv.,no,,,,NM,,,3,47139 201685 14266,47139(b) 201685(b)
227,InO(OH),Pmn21,31,Triv.,no,,,,NM,,HQ,2,15082 166253,
228,LiV2O5,Pmn21,31,SM,no,,,b,FM,,HQ,1,88640,
229,Cu(NH4)(PO4)(H2O),Pmn21,31,SM,no,,,,FM,,HQ,1,250189,
230,(NH4)(Co(PO4)(H2O)),Pmn21,31,SM,no,,,,AFM,,HQ,1,280044,
231,(NH4)(NiPO4)(H2O),Pmn21,31,Triv.,no,,,,FM,,HQ,1,424553,
232,V2O5,Pmn21,31,Triv.,no,,,b,NM,,,5,15984 29140 41030 82151 157988,15984(s) 82151(s) 157988(s)
233,SrGaH5,Pna21,33,Triv.,no,,,,NM,,,1,240697,
234,FeP,Pna21,33,SM,no,,,,,,HQ,1,15057,
235,Rb(AlSiO4),Pna21,33,Triv.,no,,,"b,s",NM,,,2,4335 160823,
236,Cs(AlSiO4),Pna21,33,Triv.,no,,,"b,s",NM,,HQ,5,160822 186607 186608 186609 186610,160822(k) 186607(k)
237,TlTeVO5,Pna21,33,Triv.,no,,,b,NM,,,2,173863 173864,
238,FeS2,Pnn2,34,Triv.,no,,,,NM,,HQ,1,42726,
239,FeTe2,Pnn2,34,Triv.,no,,,,,,HQ,2,42727 633870,
240,Ba2Ge2TiO8,Cmm2,35,Triv.,no,,,"b,s",,,HQ,1,39133,
241,BaZnF4,Cmc21,36,Triv.,yes,Fig. 28,28,"b,s",,,,0,,
242,Al5(BO3)O6,Cmc21,36,Triv.,no,,,b,NM,,HQ,21,672719 16925 182604 182605 182606 182607 182609 402925 402926 167308 20172 167307 167309 167310 167311 167312 167313 167314 167315 167316 190085,167308(s)
243,BaNiF4,Cmc21,36,Triv.,no,,,"b,s",FM,,,3,23141 261190 410708,
244,BaCoF4,Cmc21,36,SM,no,,,"b,s",FM,,HQ,2,26067 261189,
245,BaVS3,Cmc21,36,SM,no,,,"b,s",FM,,HQ,4,52692 63229 154182 616099,
246,Rb2(PbO3),Cmc21,36,Triv.,no,,,"b,s",NM,,,1,1413,
247,Na3(VOS3),Cmc21,36,Triv.,no,,,,NM,,HQ,2,281593 415217,281593(b)
248,Sr2(Ta2O7),Cmc21,36,Triv.,no,,,"b,s",NM,,HQ,1,16388,
249,Na2(W2O7),Cmc21,36,Triv.,no,,,"b,s",NM,,HQ,1,65780,
250,CaGa(BO3)O,Ccc2,37,Triv.,no,,,b,NM,,HQ,1,93390,
251,Ba(TiO3),Amm2,38,Triv.,no,,,b,NM,,HQ,12,31155 154346 161341 73637 73638 73639 73640 73641 161419 186460 237106 237109,"31155(k,s,l) 73637(k,s,l) 73638(k,s,l) 73639(k,s,l) 73640(k,s,l) 73641(k,s,l) 161419(k,s) 186460(s,l) 237106(s,l) 237109(s,l)"
252,Rb4(CO4),Amm2,38,Triv.,no,,,,NM,,,1,245441,
253,K(NbO3),Amm2,38,Triv.,no,,,"b,s,l∗",NM,,,3,9533 190922 14363,9533(k) 190922(k)
254,Pb(ZrO3),Amm2,38,Triv.,no,,,"b,s,l∗",NM,,HQ,1,39607,
255,Ag2(TeO2(OH)4),Fdd2,43,Triv.,no,,,b,NM,,HQ,1,240968,
256,Rb2((Al2Si3)O10),Fdd2,43,Triv.,no,,,"b,s",NM,,,1,180324,
257,IrF4,Fdd2,43,SM,no,,,"b,s",FM,,,1,23483,
258,Bi2(CO3)O2,Imm2,44,Triv.,yes,Fig. 28,28,,NM,,HQ,2,94740 252588,
259,Fe(Ti3O7),Imm2,44,Triv.,no,,,,FM,,,1,190042,
260,W6PCl17,Imm2,44,Triv.,no,,,,AFM,,HQ,1,422270,
261,Ba4In6O13,Iba2,45,Triv.,yes,Fig. 28,28,b,NM,,,1,72887,
262,Ag(C(CN)3),Ima2,46,Triv.,no,,,,NM,,HQ,2,43823 428560,
263,Sr(TiO3),Ima2,46,Triv.,no,,,"b,s",NM,,,1,182248,
264,Pb(TiO3),Pmmm,47,Triv.,no,,,"b,s,l∗",,,,1,27949,
265,YBaCo2O5,Pmmm,47,SM,no,,,"b,s",FM,,,2,171433 247220,
266,LaBa2Cu3O7,Pmmm,47,TI,yes,Fig. 29,29,"b,s",NM,,,1,81167,
267,YBa(Fe2O5),Pmmm,47,SM,no,,,"b,s",FM,,,3,164176 281205 281206,
268,SiO2,Pnnn,48,Triv.,no,,,"b,s",NM,,,1,170533,
269,SiO2,Pban,50,Triv.,no,,,"b,s",NM,,,1,170535,
270,La2(NiO4),Pban,50,Triv.,no,,,"b,s,l∗",FM,,HQ,1,201940,
271,Cu(H2PO2)2,Pmma,51,SM,no,,,,FM,,HQ,1,280921,
272,CuCo2Ge2,Pmma,51,SM,no,,,,FM,,HQ,1,62856,
273,Cu(GeO3),Pmma,51,SM,no,,,b,FM,,HQ,21,25754 50329 50331 56606 56607 56699 56701 78475 85325 85326 89400 89401 89402 89403 89404 89405 89406 89407 246664 411018 411019,
274,Cu(SiO3),Pmma,51,SM,no,,,b,FM,,HQ,1,89669,
275,LaCoAl4,Pmma,51,TI,no,,,,NM,,HQ,1,9986,
276,Ga(GaCl4),Pnna,52,Triv.,no,,,b,NM,,HQ,3,14218 62664 66548,
277,In(InBr4),Pnna,52,Triv.,no,,,b,NM,,HQ,2,60851 62240,
278,CuPtO2,Pmna,53,SM,no,,,,,,,1,670125,
279,Na3Cu4S4,Pbam,55,SM,no,,,,NM,,HQ,1,10004,
280,Na2(TiCl4),Pbam,55,Triv.,no,,,b,FM,,HQ,1,400264,
281,Bi2Al4O9,Pbam,55,Triv.,no,,,b,NM,,,6,20069 26807 88775 200051 236561 251938,
