num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,material_id,verification,icsd_ids_verified,n_icsd_verified,site_formula,site_space_group_number
80,SbTaON2,Cm,8,Triv.,no,,,"b,s",,,,1,674163,,674163,matched,674163,1,N2 O1 Sb1 Ta1,8
81,SbNbN2O,Cm,8,Triv.,no,,,"b,s",,,,1,674153,,674153,matched,674153,1,N2 Nb1 O1 Sb1,8
82,TeGeN2O,Cm,8,Triv.,no,,,"b,s",,,,1,674160,,674160,matched,674160,1,Ge1 N2 O1 Te1,8
83,Cd2O(OH)2(H2O),Cm,8,Triv.,no,,,,NM,,HQ,2,40185 40186,,40185,matched,40185 40186,2,H4 Cd2 O4,8
84,Na4(CO4),Cm,8,Triv.,no,,,,NM,,,3,245410 245413 245414,245410(b),245410,matched,245410 245413 245414,3,C1 Na4 O4,8
85,K4(CO4),Cm,8,Triv.,no,,,,NM,,,3,245424 245426 245421,,245421,matched,245421 245424 245426,3,C1 K4 O4,8
86,SiO2,Cc,9,Triv.,no,,,"b,s",NM,,,3,75662 81381 413210,,75662,matched,75662 81381 413210,3,O2 Si1,9
87,Ba2WO3F4,Cc,9,Triv.,no,,,,NM,,HQ,3,201653 33271 673319,,33271,matched,33271 201653 673319,3,Ba2 F4 O3 W1,9
88,KSbB2O6,Cc,9,Triv.,no,,,b,NM,,HQ,1,238073,,238073,matched,238073,1,B2 K1 O6 Sb1,9
89,Cs2CuP2O7,Cc,9,SM,no,,,b,FM,,,1,430123,,430123,matched,430123,1,Cs2 Cu1 O7 P2,9
90,LiVO3,Cc,9,Triv.,no,,,,,,HQ,1,23477,,23477,matched,23477,1,Li1 O3 V1,9
91,TiZrSe4,P2/m,10,TI,no,,,b,NM,,,1,104188,,104188,matched,104188,1,Se4 Ti1 Zr1,10
92,CrAuTe4,P2/m,10,SM,yes,Fig. 27,27,,FM,,HQ,1,150279,,150279,matched,150279,1,Au1 Cr1 Te4,10
93,Cu(IO3)2,P21/m,11,SM,no,,,b,FM,,HQ,1,2232,,2232,matched,2232,1,Cu1 I2 O6,11
94,Ca3VN3,P21/m,11,Triv.,no,,,b,NM,,,1,41060,,41060,matched,41060,1,Ca3 N3 V1,11
