num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
617,(Co(N5)2(H2O)4)(H2O)4,Fmmm,69,SM,,,,,1,432489,
618,TaI2Cl2,Immm,71,Triv.,,NM,,HQ,1,69688,
619,Cs(BrF4),Immm,71,Triv.,,NM,,HQ,1,426292,
620,Na3(AlF6),Immm,71,Triv.,,NM,,HQ,2,74210 74211,
621,NaAl(OH)2(CO3),Imma,74,Triv.,b,NM,,HQ,1,100140,
622,CrOF3,P41,76,SM,"b,s",FM,,,1,59123,
623,C(HCO2)2,P41,76,Triv.,,,,,1,109620,
624,(Ni(SC(NH2)2)4Cl2),I4,79,Triv.,,FM,,,2,61122 61123,
625,Na4(CO(PO3)2)(H2O)2,P4̄,81,Triv.,,NM,,,1,19,
626,K5(Nb(CN)8),I4̄,82,Triv.,,NM,,HQ,1,16458,
627,CsCo(CO)4,I4̄,82,Triv.,,NM,,HQ,2,31359 31360,
628,LiNH2,I4̄,82,Triv.,,NM,,HQ,10,173179 10354 51679 161017 165467 168792 168793 182470 182471 237203,
629,Cu(XeF2)4(SbF6)2,I4̄,82,SM,,FM,,HQ,1,249656,
630,Li3Na(NH2)4,I4̄,82,Triv.,,NM,,HQ,2,201147 201148,
631,Re4Te4(TeBr2)4Br8,I4̄,82,Triv.,,NM,,HQ,1,78924,
632,((S4Re4)Cl8(TeCl2)4),I4̄,82,Triv.,,NM,,HQ,1,165333,
633,((Te4Re4)Cl8(TeCl2)4),I4̄,82,Triv.,,NM,,HQ,1,165335,
634,(PCl4)(SbF6),P4/n,85,Triv.,,NM,,HQ,1,71876,
635,(Li(NH3)4)(C2)H,P4/n,85,Triv.,,NM,,,1,425119,
636,PCl5,P4/n,85,Triv.,,NM,,,2,26048 26661,
637,Cs(Al(NH2)4),P4/n,85,Triv.,,NM,,HQ,2,2537 40169,
638,(VO)(SO4),P4/n,85,SM,b,AFM,,HQ,1,18307,
639,MoO(PO4),P4/n,85,SM,b,FM,,HQ,2,24894 36095,
640,(PNCl2)4,P42/n,86,Triv.,,NM,,,2,23897 33711,
641,KSb4F13,I4/m,87,Triv.,,NM,,,1,24740,
642,Ba(VSi2O7),I4/m,87,Triv.,b,AFM,,HQ,1,78029,
643,(N(CH3)4)2(PtF6),I4/m,87,Triv.,,NM,,,1,151176,
644,Ba2Zr6Cl17B,I4/m,87,Triv.,b,NM,,HQ,1,203141,
645,Cs8(Ta6O19),I4/m,87,Triv.,"b,s",NM,,,1,411856,
646,((CH3)4N)2K(Mn(CN)6),I4/m,87,Triv.,,FM,,,1,107665,
647,((CH3)4N)2Rb(Co(CN)6),I4/m,87,Triv.,,NM,,,1,107666,
648,((CH3)4N)2(KFe(CN)6),I4/m,87,SM,,FM,,,1,239245,
649,Na4(IrO4),I4/m,87,SM,b,FM,,HQ,1,67826,
650,Na2TiOSi4O10,I4/m,87,Triv.,"b,s",NM,,,1,16899,
651,XeF2IF5,I4/m,87,Triv.,,NM,,HQ,1,26059,
652,(XeOF4)(XeF2),I4/m,87,Triv.,,,,HQ,1,422962,
653,B10F12,I41/a,88,Triv.,,NM,,,1,412618,
654,TlB(CN)4,I41/a,88,Triv.,,NM,,HQ,1,414564,
655,SO2F2,P41212,92,Triv.,,NM,,HQ,1,62968,
656,Pb2Cu(OH)4Cl2,P4mm,99,SM,,FM,,HQ,1,81589,
657,Cs2V3O8,P4bm,100,SM,"b,s",FM,,HQ,5,251010 430710 430711 430708 430709,
658,(H3O)2V3O8,P4bm,100,SM,,FM,,,1,421914,
659,K2(VO)(V2O7),P4bm,100,SM,"b,s",FM,,HQ,2,1925 245500,
660,Rb2(VO)(V2O7),P4bm,100,SM,"b,s",FM,,HQ,3,72285 79378 150326,
661,(NH4)2V3O8,P4bm,100,SM,,FM,,,1,201900,
662,Cs2V5O13,I4mm,107,SM,b,FM,,HQ,1,849,
663,KNa2(CuO2),I4mm,107,Triv.,b,NM,,HQ,1,47105,
664,Ta4S9Br8,I4mm,107,Triv.,b,NM,,HQ,1,171236,
665,Cu(Fe(CN)5NO),I4mm,107,SM,,FM,,HQ,1,414021,
666,(Os(NO)(NH3)4Cl)Cl2,I4mm,107,Triv.,,NM,,,1,39306,
667,K3(NO3),I4cm,108,Triv.,"b,s",NM,,,1,37204,
668,(NO)(ClF4),I4cm,108,Triv.,,NM,,HQ,1,50216,
669,Li2VO(SO4)2,I4cm,108,SM,b,,,,1,241829,
670,(NH4)(ClO2),P4̄21m,113,Triv.,,NM,,,2,26511 59921,
671,(PCl4)(ICl2),P4̄21m,113,Triv.,,NM,,,1,26594,
672,(S3N3O4)2S,P4̄21m,113,Triv.,b,NM,,,1,49015,
673,(NF4)(BF4),P4̄21m,113,Triv.,,NM,,,2,63311 68017,
674,Li(ReO2F4),P4̄21m,113,Triv.,b,NM,,HQ,1,280011,
675,CO(NH2)2,P4̄21m,113,Triv.,,NM,,HQ,14,15432 15433 16692 29364 29365 29366 40049 43490 56901 100303 100304 100305 170090 280179,
676,C10H16,P4̄21c,114,Triv.,,NM,,,1,5284,
677,(NSF)4,P4̄21c,114,Triv.,,NM,,,3,15422 18202 71039,
678,H10O8Se,P4̄21c,114,Triv.,,,,,1,404660,
679,CsLi2I3,P4̄m2,115,Triv.,b,NM,,,1,245988,
680,RbCuO,I4̄m2,119,Triv.,,NM,,HQ,2,49758 188523,
681,CsSbClF3,I4̄2m,121,Triv.,,NM,,HQ,2,28222 200296,
682,(TcBr2)(P(CH3)3)4,I4̄2m,121,SM,,FM,,,1,166912,
683,WCl2(P(CH3)3)4,I4̄2m,121,Triv.,,FM,,,1,185488,
684,MoCl2(P(CH3)3)4,I4̄2m,121,Triv.,,FM,,,1,185489,
