icsd,formula,space_group_number,space_group_symbol,point_group,material_id,curated_flatband,best_flatband,atomic_flatband,high_quality,topology_soc,topology_nosoc,superconductor,nonzero_magnetisation,theory_entry,n_electrons,structure_type,a,b,c,alpha,beta,gamma,n_kagome,n_pyrochlore,n_lieb,n_bipartite,n_split,materials_project,cif_file,cif_symmetry_ops
30430,C4 K3 N4 O2 Re1,2,P-1,-1,16121,0,0,1,0,Trivial,Trivial,0,0,0,82,,7.73,7.35,6.32,107.47,108.33,114.33,0,0,0,0,0,https://materialsproject.org/materials/icsd/30430,cif/30430.cif,2
30532,H16 B2 Na2 O14,2,P-1,-1,30532,0,0,1,0,Trivial,Trivial,0,0,0,108,,6.837,7.37,7.283,98.77,101.85,120.33,0,0,0,0,0,https://materialsproject.org/materials/icsd/30532,cif/30532.cif,2
30552,C9 O9 Os3 Se2,2,P-1,-1,30552,0,0,1,0,Trivial,Trivial,0,0,0,252,Os3(CO)9Se2,6.804,9.62,13.527,94.206,95.57,110.469,0,0,0,2,0,https://materialsproject.org/materials/icsd/30552,cif/30552.cif,2
30579,In1 Li1 Mo3 O8,156,P3m1,3<i>m</i>,30579,1,0,0,0,Trivial,Trivial,0,1,0,70,LiScMo3O8,5.741,5.741,4.991,90,90,120,0,0,0,3,0,https://materialsproject.org/materials/icsd/30579,cif/30579.cif,6
30612,F3 Mo1,221,Pm-3m,<i>m</i>-3<i>m</i>,30612,1,1,0,0,ESFD (SM),ESFD (SM),0,0,0,27,ReO3,3.8985,3.8985,3.8985,90,90,90,1,0,1,3,0,https://materialsproject.org/materials/icsd/30612,cif/30612.cif,48
30615,B7 Cl1 Mg3 O13,219,F-43c,-43<i>m</i>,30351,0,0,1,0,Trivial,Trivial,0,1,0,224,Boracite(HT),12.1,12.1,12.1,90,90,90,2,0,0,3,0,https://materialsproject.org/materials/icsd/30615,cif/30615.cif,96
30617,Ba1 O3 Ti1,99,P4mm,4<i>mm</i>,15453,1,0,0,0,Trivial,Trivial,0,0,0,32,Perovskite-PbTiO3,3.994,3.994,4.038,90,90,90,0,0,0,5,0,https://materialsproject.org/materials/icsd/30617,cif/30617.cif,8
30627,O5 Pb2 S1,12,C2/m,2/<i>m</i>,14246,1,0,0,0,Trivial,Trivial,0,0,0,88,Pb2OSO4,13.75,5.68,7.05,90,116.2,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/30627,cif/30627.cif,8
30638,N2 O5,194,P63/mmc,6/<i>mmm</i>,30638,0,0,1,0,Trivial,Trivial,0,0,0,80,,5.41,5.41,6.57,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/30638,cif/30638.cif,24
30639,N2 O5,194,P63/mmc,6/<i>mmm</i>,30639,0,0,1,0,ES (SM),ES (SM),0,0,0,80,,5.45,5.45,6.66,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/30639,cif/30639.cif,24
30661,Ba1 Ni1 O3,194,P63/mmc,6/<i>mmm</i>,175,1,0,0,0,Trivial,Trivial,0,0,0,76,BaNiO3,5.58,5.58,4.832,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/30661,cif/30661.cif,24
30677,Al2 O5 Si1,58,Pnnm,<i>mmm</i>,24275,1,0,0,0,Trivial,Trivial,0,0,0,160,Al2SiO5-Andalusite,7.7599,7.8735,5.544,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/30677,cif/30677.cif,8
30678,Al2 O5 Si1,58,Pnnm,<i>mmm</i>,24275,1,0,0,0,Trivial,Trivial,0,0,0,160,Al2SiO5-Andalusite,7.7599,7.8735,5.544,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/30678,cif/30678.cif,8
30679,Al2 O5 Si1,58,Pnnm,<i>mmm</i>,24275,1,0,0,0,Trivial,Trivial,0,0,0,160,Al2SiO5-Andalusite,7.7382,7.8571,5.5338,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/30679,cif/30679.cif,8
30680,Al2 O5 Si1,58,Pnnm,<i>mmm</i>,24275,1,0,0,0,Trivial,Trivial,0,0,0,160,Al2SiO5-Andalusite,7.7049,7.8375,5.5262,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/30680,cif/30680.cif,8
30708,Cl1 Y1,166,R-3m,-3<i>m</i>,30708,1,0,0,1,Trivial,Trivial,0,0,0,36,ZrCl,3.7523,3.7523,27.525,90,90,120,0,0,0,0,0,https://materialsproject.org/materials/icsd/30708,cif/30708.cif,36
