num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,is_top_candidate,best_figure
2182,Co2HfSn,Fm3̄m,225,TI,,FM,,,30,102453 102454 623206 623207 623209 623211 102456 623228 623230 674450 102483 108295 291934 623806 659656 102531 102532 624165 624166 624169 624171 624172 624173 624177 672407 102554 102555 190615 624326 624333,,yes,Fig.61
2186,Co2SnTi,Fm3̄m,225,TI,,FM,,,0,,,yes,Fig.61
2188,Co2SnZr,Fm3̄m,225,TI,,FM,,,0,,,yes,Fig.61
2189,CrFe2Ga,Fm3̄m,225,SM,,FM,,,2,102755 184448,,yes,Fig.63
2190,Cu2MnIn,Fm3̄m,225,TI,,FM,,,3,102996 102997 628019,,yes,Fig.61
2192,Fe2GaV,Fm3̄m,225,Triv.,,NM,,,3,103473 103474 631850,,yes,Fig.65
2193,Fe2SnTi,Fm3̄m,225,SM,,NM,,,4,103641 103642 186058 633766,,yes,Fig.63
2194,Fe2SnV,Fm3̄m,225,SM,,FM,,,2,103644 291933,,yes,Fig.64
2198,MnNi2Sn,Fm3̄m,225,SM,,FM,,,12,104926 104927 191631 291935 643152 643153 643156 643157 643158 643159 643161 674344,,yes,Fig.64
2203,NiRh2Sn,Fm3̄m,225,TI,,FM,,,1,105327,,yes,Fig.62
2204,Ni2ScSn,Fm3̄m,225,SM,,NM,,HQ,2,105339 657254,,yes,Fig.64
2209,Fe3Ga,Fm3̄m,225,SM,,FM,,,2,108436 672763,,yes,Fig.64
2211,Co2TiGe,Fm3̄m,225,SM,,FM,,,4,169468 169469 623633 623637,,yes,Fig.64
2214,Co2TiAl,Fm3̄m,225,SM,,FM,,,5,185966 606679 606680 606682 606685,,yes,Fig.64
2215,Fe2CrSn,Fm3̄m,225,SM,,FM,,,1,185999,,yes,Fig.64
2217,Fe2TiGe,Fm3̄m,225,Triv.,,NM,,,1,186057,,yes,Fig.65
2218,Fe2TiAs,Fm3̄m,225,SM,,FM,,,1,186059,,yes,Fig.64
2219,Fe2TiSb,Fm3̄m,225,SM,,FM,,,1,186060,,yes,Fig.65
2225,Ru2VGe,Fm3̄m,225,SM,,,,,1,671340,,yes,Fig.65
2229,Fe2ZrP,Fm3̄m,225,SM,,,,,1,675102,,yes,Fig.65
2232,K2(SnCl6),Fm3̄m,225,Triv.,k∗,NM,,HQ,5,604 1668 6058 23991 26111,,yes,Fig.66
2233,(NH4)2(SnCl6),Fm3̄m,225,Triv.,k∗,NM,,HQ,3,605 9021 163660,,yes,Fig.66
2236,Rb2SnCl6,Fm3̄m,225,Triv.,k∗,NM,,HQ,5,9022 26698 29026 65059 65060,,yes,Fig.66
2237,Cs2SnCl6,Fm3̄m,225,Triv.,k∗,NM,,HQ,3,9023 26699 29030,,yes,Fig.66
2239,Rb2MnCl6,Fm3̄m,225,SM,k∗,FM,,HQ,1,9347,,yes,Fig.65
2270,K2TaCl6,Fm3̄m,225,SM,k∗,FM,,HQ,1,59894,,yes,Fig.66
2276,Rb2(NbCl6),Fm3̄m,225,SM,k∗,FM,,HQ,1,245747,,yes,Fig.66
2285,Y2Ni6C,Fm3̄m,225,SM,k∗,,,,1,673582,,yes,Fig.65
2319,Ca2NH,Fd3̄m,227,Triv.,"k,p",NM,,,1,292,,yes,Fig.66
2323,CsNbN2,Fd3̄m,227,Triv.,"k,p,b,s",NM,,HQ,1,72546,,yes,Fig.66
2325,YS2,Fd3̄m,227,SM,"k,p",NM,,,1,52216,,yes,Fig.67
2328,BaPt2,Fd3̄m,227,TI,"k,p",NM,SC,,3,58675 616039 616040,,yes,Fig.67
2330,CaNi2,Fd3̄m,227,SM,"k,p",NM,,,3,58915 619440 619441,,yes,Fig.67
2335,Ni2Sc,Fd3̄m,227,SM,"k,p",NM,,,3,105334 105335 646466,,yes,Fig.67
2336,Ni2Y,Fd3̄m,227,SM,"k,p",NM,SC,,26,105458 105459 150746 183094 196784 647056 647057 647058 647072 647082 647083 647086 647087 647088 647090 647099 647108 657906 670873 106236 106237 653507 653508 653510 653517 653523,,yes,Fig.67
2337,Zn2Zr,Fd3̄m,227,Triv.,"k,p",FM,SC,,0,,,yes,Fig.67
2346,Sn2(Ta2O7),Fd3̄m,227,Triv.,"k,p,b,s",NM,,,2,27119 163818,,yes,Fig.68
2347,Pb2Sb2O7,Fd3̄m,227,SM,"k,p,b,s",NM,,,1,27120,,yes,Fig.67
2348,Ca2Ta2O7,Fd3̄m,227,Triv.,"k,p,b,s",NM,,,1,27121,,yes,Fig.68
2350,Hg2Zn2F6O,Fd3̄m,227,Triv.,"k,p,b,s",NM,,HQ,1,27330,,yes,Fig.68
2351,Cd2Nb2O7,Fd3̄m,227,SM,"k,p",NM,,,1,33672,,yes,Fig.67
2358,Sn2(Nb2O7),Fd3̄m,227,Triv.,"k,p,b,s",NM,,,1,163817,,yes,Fig.68
2360,Y2(Ir2O7),Fd3̄m,227,SM,"k,p,b,s",FM,,HQ,1,187534,,yes,Fig.68
2372,Mg2VO4,Fd3̄m,227,SM,"k,p,b",FM,,,1,76980,,yes,Fig.68
2377,CoAl2O4,Fd3̄m,227,SM,"k,p,b",AFM,,HQ,1,290133,,yes,Fig.68
2378,Al2NiO4,Fd3̄m,227,SM,"k,p,b",AFM,,,1,608815,,yes,Fig.69
